event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,peak_time_hour,date,lofar_data
51,2018-01-28T18:39:00,2018-01-28T18:42:00,2018-01-28T18:44:00,A3.6,0,18,2018-01-28,yes
52,2018-02-10T13:02:00,2018-02-10T13:21:00,2018-02-10T13:36:00,C4.6,12699,13,2018-02-10,yes
53,2018-02-10T16:31:00,2018-02-10T16:43:00,2018-02-10T16:51:00,B2.4,12699,16,2018-02-10,yes
54,2018-02-10T18:09:00,2018-02-10T18:14:00,2018-02-10T18:17:00,B1.3,12699,18,2018-02-10,yes
55,2018-02-11T09:00:00,2018-02-11T09:07:00,2018-02-11T09:14:00,B3.7,12699,9,2018-02-11,yes
56,2018-02-11T09:50:00,2018-02-11T10:03:00,2018-02-11T10:14:00,B8.3,12699,10,2018-02-11,yes
57,2018-02-11T11:37:00,2018-02-11T11:41:00,2018-02-11T11:44:00,B1.2,12699,11,2018-02-11,yes
58,2018-02-11T13:23:00,2018-02-11T13:29:00,2018-02-11T13:45:00,B1.8,12699,13,2018-02-11,yes
59,2018-02-11T13:53:00,2018-02-11T13:57:00,2018-02-11T14:10:00,B1.6,12699,13,2018-02-11,yes
60,2018-02-11T14:10:00,2018-02-11T14:29:00,2018-02-11T14:43:00,B3.3,12699,14,2018-02-11,yes
61,2018-02-11T16:13:00,2018-02-11T16:18:00,2018-02-11T16:20:00,B1.5,12699,16,2018-02-11,yes
62,2018-03-02T10:56:00,2018-03-02T11:07:00,2018-03-02T11:13:00,C1.9,12700,11,2018-03-02,yes
63,2018-03-30T11:13:00,2018-03-30T11:17:00,2018-03-30T11:20:00,B2.1,12703,11,2018-03-30,yes
64,2018-03-30T17:58:00,2018-03-30T18:07:00,2018-03-30T18:15:00,B2.0,12703,18,2018-03-30,yes
65,2018-03-31T08:59:00,2018-03-31T09:11:00,2018-03-31T09:23:00,B7.1,12703,9,2018-03-31,yes
66,2018-03-31T16:16:00,2018-03-31T16:20:00,2018-03-31T16:25:00,B1.1,12703,16,2018-03-31,yes
67,2018-04-01T12:51:00,2018-04-01T13:08:00,2018-04-01T13:19:00,B9.0,12703,13,2018-04-01,yes
68,2018-04-03T14:13:00,2018-04-03T14:17:00,2018-04-03T14:32:00,B1.2,12703,14,2018-04-03,yes
69,2018-04-15T12:37:00,2018-04-15T12:40:00,2018-04-15T12:43:00,B3.5,12705,12,2018-04-15,yes
70,2018-04-15T13:46:00,2018-04-15T13:49:00,2018-04-15T13:54:00,B1.0,12705,13,2018-04-15,yes
71,2018-04-20T09:39:00,2018-04-20T09:42:00,2018-04-20T09:47:00,B1.0,12706,9,2018-04-20,yes
72,2018-04-20T16:55:00,2018-04-20T17:04:00,2018-04-20T17:12:00,B5.3,12706,17,2018-04-20,yes
73,2018-04-21T10:45:00,2018-04-21T10:51:00,2018-04-21T10:58:00,B2.0,12706,10,2018-04-21,yes
